Data,Analizowany_Parametr,Wartosc,MAE_Train,MAE_Test,Roznica_Overfitting
2026-04-16 15:07:08,num_layers,1,2.7739,1.0681,1.7057
2026-04-16 15:07:11,num_layers,2,2.7431,1.3668,1.3764
2026-04-16 15:07:16,num_layers,3,2.8113,1.6737,1.1376
2026-04-16 15:07:22,num_layers,4,2.9446,0.9257,2.019
2026-04-16 15:07:24,activation,tanh,3.3259,1.3185,2.0074
2026-04-16 15:07:26,activation,relu,3.7366,3.2351,0.5015
2026-04-16 15:07:28,activation,sigmoid,3.8747,3.8417,0.0329
2026-04-16 15:07:31,activation,elu,3.4156,2.0524,1.3632
2026-04-16 15:07:32,window_size,6,2.4891,0.7904,1.6987
2026-04-16 15:07:33,window_size,12,3.4008,2.1501,1.2508
2026-04-16 15:07:36,window_size,18,2.4745,0.6479,1.8266
2026-04-16 15:07:39,window_size,24,3.197,2.1699,1.0271
2026-04-16 15:07:41,hidden_size,16,3.7787,3.429,0.3497
2026-04-16 15:07:43,hidden_size,32,2.9632,0.7354,2.2278
2026-04-16 15:07:45,hidden_size,64,1.2011,1.0807,0.1204
2026-04-16 15:07:47,hidden_size,128,0.5699,1.1171,0.5472
2026-04-16 15:07:49,learning_rate,0.001,3.7396,3.4625,0.2771
2026-04-16 15:07:51,learning_rate,0.005,3.0647,0.9844,2.0803
2026-04-16 15:07:53,learning_rate,0.01,1.8496,0.6077,1.242
2026-04-16 15:07:54,learning_rate,0.05,1.2094,3.8123,2.6029
2026-04-16 15:07:55,training_size,400,4.1911,3.7519,0.4392
2026-04-16 15:07:57,training_size,800,3.3574,2.6477,0.7098
2026-04-16 15:07:59,training_size,1200,3.1606,2.2536,0.9069
2026-04-16 15:08:01,training_size,1600,1.9561,0.8272,1.1289
2026-04-16 17:15:13,num_layers,1,1.0144,0.6651,0.3493
2026-04-16 17:17:45,num_layers,1,0.9888,0.5658,0.423
2026-04-16 17:18:36,num_layers,2,1.0339,0.5784,0.4555
2026-04-16 17:19:49,num_layers,3,1.0457,0.5629,0.4828
2026-04-16 17:21:26,num_layers,4,1.0871,0.8764,0.2107
2026-04-16 17:21:52,activation,tanh,0.9871,0.5543,0.4329
2026-04-16 17:22:46,num_layers,1,1.0159,0.8919,0.1241
2026-04-16 17:24:11,num_layers,2,0.9862,0.8517,0.1345
2026-04-16 17:26:15,num_layers,3,0.976,0.6248,0.3511
2026-04-16 17:28:56,num_layers,4,1.0361,0.6467,0.3894
2026-04-16 17:29:42,activation,tanh,0.9633,0.5436,0.4197
2026-04-16 17:30:28,activation,relu,1.185,0.9757,0.2093
2026-04-16 17:31:27,activation,sigmoid,3.1249,2.2593,0.8656
2026-04-16 17:32:33,activation,elu,0.9506,0.5354,0.4152
2026-04-16 17:32:59,window_size,6,0.9844,0.6921,0.2923
2026-04-16 17:33:46,window_size,12,0.9736,0.7904,0.1832
2026-04-16 17:34:50,window_size,18,0.9216,0.5786,0.343
2026-04-16 17:36:10,window_size,24,0.9825,0.6663,0.3162
2026-04-16 17:36:54,hidden_size,16,1.1354,0.5607,0.5748
2026-04-16 17:37:39,hidden_size,32,0.9468,0.6603,0.2865
2026-04-16 17:38:35,hidden_size,64,0.8167,0.6548,0.1619
2026-04-16 17:39:57,hidden_size,128,0.5142,1.2428,0.7286
2026-04-16 17:40:41,learning_rate,0.001,1.3449,0.5393,0.8057
2026-04-16 17:41:26,learning_rate,0.005,0.991,0.6097,0.3813
2026-04-16 17:42:11,learning_rate,0.01,0.9446,0.7602,0.1844
2026-04-16 17:42:56,learning_rate,0.05,1.825,4.9236,3.0986
2026-04-16 17:43:11,training_size,400,1.5081,0.6548,0.8532
2026-04-16 17:43:41,training_size,800,1.196,1.1738,0.0221
2026-04-16 17:44:26,training_size,1200,0.9966,1.2123,0.2157
2026-04-16 17:45:28,training_size,1600,0.814,0.5554,0.2586

